Date,Close,High,Low,Open,Volume
2023-07-18,8178.40673828125,8267.788232688696,8133.715991077527,8223.097485484972,52924600
2023-07-20,8178.40673828125,8245.442859086834,8156.061364679388,8223.097485484972,83476600
2023-07-21,8178.40673828125,8200.75211188311,8156.061364679388,8178.406738281249,42667800
2023-07-24,8133.71435546875,8223.095831902472,8133.71435546875,8223.095831902472,62061200
2023-07-25,8178.40673828125,8312.478979892418,8178.406738281249,8200.75211188311,122802700
2023-07-26,8357.1689453125,8357.1689453125,8156.060601708723,8200.751344731785,113868700
2023-07-27,8245.44140625,8401.858993902439,8245.44140625,8401.858993902439,77848400
2023-07-28,8156.06005859375,8245.441538687928,8156.06005859375,8223.096168664384,74510200
2023-07-31,8156.06005859375,8223.096168664384,8133.714688570205,8200.750798640838,80868000
2023-08-01,8156.06005859375,8200.750798640838,8133.714688570205,8200.750798640838,49756400
2023-08-02,8223.0966796875,8223.0966796875,8156.060565450917,8156.060565450917,60629900
2023-08-03,8267.7861328125,8312.47686866554,8178.40466110642,8178.40466110642,64596100
2023-08-04,8178.40673828125,8290.133606290556,8156.061364679388,8267.788232688696,52675900
2023-08-07,8290.130859375,8290.130859375,8178.404028386119,8178.404028386119,55589300
2023-08-08,8223.0966796875,8312.478165336277,8223.0966796875,8290.132793924082,43373400
2023-08-09,8401.859375,8401.859375,8267.787150930852,8290.132521609043,77056800
2023-08-10,8401.859375,8424.204745678191,8357.168633643618,8401.859375,76738100
2023-08-11,8401.859375,8446.550116356382,8379.514004321809,8424.204745678191,68898600
2023-08-14,8357.1689453125,8357.1689453125,8245.442087754845,8334.82357380097,75495400
2023-08-15,8312.4775390625,8379.513648248489,8312.4775390625,8334.822908791162,59303700
2023-08-16,8312.4775390625,8334.822908791162,8267.786799605175,8290.132169333838,53440000
2023-08-18,8267.7861328125,8357.167604518581,8267.7861328125,8267.7861328125,79328900
2023-08-21,8200.75,8267.786103542234,8200.75,8245.440735694823,73573000
2023-08-22,8312.4775390625,8334.822908791162,8178.405320690524,8178.405320690524,65664600
2023-08-23,8312.4775390625,8334.822908791162,8290.132169333838,8312.4775390625,63749800
2023-08-24,8223.0966796875,8334.82353674847,8223.0966796875,8267.787422511889,53725900
2023-08-25,8290.130859375,8290.130859375,8200.749394583896,8223.09476078167,50379000
2023-08-28,8223.0966796875,8267.787422511889,8223.0966796875,8267.787422511889,44423100
2023-08-29,8267.7861328125,8312.47686866554,8223.09539695946,8290.13150073902,45428500
2023-08-30,8223.0966796875,8312.478165336277,8223.0966796875,8312.478165336277,56227000
2023-08-31,8200.75,8245.440735694823,8133.713896457765,8223.09536784741,136107200
2023-09-01,8245.44140625,8290.132145579268,8200.750666920732,8223.096036585366,42152700
2023-09-04,8245.44140625,8290.132145579268,8200.750666920732,8245.44140625,40610600
2023-09-05,8245.44140625,8267.786775914634,8223.096036585366,8267.786775914634,42007200
2023-09-06,8178.40673828125,8267.788232688696,8178.406738281249,8223.097485484972,49318400
2023-09-07,8200.75,8200.75,8133.713896457765,8156.059264305177,61405200
2023-09-08,8156.06005859375,8178.405428617294,8089.023948523116,8133.714688570205,80732300
2023-09-11,8156.06005859375,8156.06005859375,8111.369318546661,8111.369318546661,53155900
2023-09-12,8133.71435546875,8156.0597245771805,8111.3689863603195,8133.71435546875,66479000
2023-09-13,8111.36962890625,8111.36962890625,8044.333516270661,8089.02425802772,69490200
2023-09-14,8133.71435546875,8156.0597245771805,8044.332879035028,8044.332879035028,112757900
2023-09-15,8044.333984375,8133.715473090278,8044.333984375,8089.024728732639,121005300
2023-09-18,8044.333984375,8111.370100911458,8044.333984375,8089.024728732639,34272200
2023-09-19,8111.36962890625,8111.36962890625,8021.988145392132,8044.333516270661,33325800
2023-09-20,8178.40673828125,8200.75211188311,8111.370617475665,8156.061364679388,54305500
2023-09-21,8156.06005859375,8178.405428617294,8111.369318546661,8156.06005859375,40607000
2023-09-22,8111.36962890625,8178.405741541838,8111.36962890625,8156.060370663309,42445300
2023-09-25,8044.333984375,8111.370100911458,8044.333984375,8111.370100911458,56132200
2023-09-26,7999.64208984375,8066.678196741882,7999.64208984375,8044.332827775837,73544700
